English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"A spring is expanded 10cm by appling 500N force on the spring. If a body of 20kg mass is hung at the lower end of the spring, then what is the potential energy of the spring?",একটি স্প্রিং-এ 500 N বল প্রয়োগ করায় স্প্রিংটি 10 cm প্রসারিত হয়। স্প্রিংটিতে 20 kg ভরের একটি বোঝা খাড়া নিচের দিকে ঝুলিয়ে দেওয়া হলে স্প্রিংটির স্থিতি শক্তি কত?,0.04J,1.90J,3.80J,98J,0.04 J,1.90 J,3.80 J,98 J,c
Which one is the angular velocity of the national memorial due to rotation of the earth on its own axis?,পৃথিবীর নিজ অক্ষের ঘূর্ণনের জন্য জাতীয় স্মৃতিসৌধের কৌণিক বেগ কত?,7.27 \times 10^{5} rads^{-1},0.2618 rads^{-1},1.818 \times 10^{-4} rads^{-1},7.27 \times 10^{-5} rads^{-1},7.27\times 10^{5}rads^{-1},0.2618 rads^{-1},1.818\times 10^{-4}rads^{-1},7.27\times 10^{-5}rads^{-1},d
"The maximum velocity and maximum acceleration of a particle at simple harmonic motion are 15 cms^{-1} and 30cms^{-2} respectively.
  
 What is the time period of the particle of the above stem?","সরল ছন্দিত গতিতে দোলনরত একটি কণার সর্বোচ্চ ত্বরণের মান যথাক্রমে 15 cms^{-1} ও 30 cms^{-2}।
উদ্দীপকের কণাটির পর্যায়কাল কত?",0.785s,1.57s,3.14s,6.28s,0.785 s,1.57 s,3.14 s,6.28 s,c
"The maximum velocity and maximum acceleration of a particle at simple harmonic motion are 15 cms^{-1} and 30cms^{-2} respectively.
 
 Oscillating particle of the above stem-
 i. the amplitude is 7.5 cm 
 ii. kinetic energy at maxium amplitude is zero 
 iii. potential energy at equilibrium is highest
 Which one is correct?","সরল ছন্দিত গতিতে দোলনরত একটি কণার সর্বোচ্চ ত্বরণের মান যথাক্রমে 15 cms^{-1} ও 30 cms^{-2}।
উদ্দীপকের দোলনরত কণার-
i. বিস্তার 7.5 cm
ii. সর্বোচ্চ বিস্তারে গতিশক্তি শূণ্য
iii. সাম্যাবস্থানে বিভবশক্তি সর্বোচ্চ
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Vector \frac{\hat{i} - \hat{j} + \hat{k}}{\sqrt{3}} is s-,\frac{\hat{i}-\hat{j}+\hat{k}}{\sqrt{3}} ভেক্টর একটি-,null vector,co-linear vector,coplaner vector,unit vector,নাল ভেক্টর,সমরেখ ভেক্টর,সমতলীয় ভেক্টর,একক ভেক্টর,d
"Nm is th e unit of - 
 i. angular momentum 
 ii. Work done 
 iii. Moment of force
 Which one is correct?","Nm একক হয়-
i. কৌণিক ভরবেগের
ii. কাজের
iii. বলের ভ্রামকের
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
When two diagonals of a parallelogram are indicated by the vectors \vec{A} and \vec{B} Then Vhich one will be the area of the parallelogram?,\vec{A} ও \vec{B} ভেক্টর দ্বারা একটি সামান্তরিকের কর্ণদ্বয় নির্দিষ্ট হলে সামান্তরিকের ক্ষেত্রফল কোনটি হবে?,\vec{A} . \vec{B},\frac{1}{2} |\vec{A} \times \vec{B}|,\frac{1}{2} |\vec{A} . \vec{B}|,|\vec{A} \times \vec{B}|,\vec{A}.\vec{B},\frac{1}{2}\left | \vec{A}\times \vec{B} \right |,\frac{1}{2}\left | \vec{A}. \vec{B} \right |,\left | \vec{A}\times \vec{B} \right |,b
If angle between the two vectors \vec{P} and \vec{Q} is 120\degree then th e resultant of them-,\vec{P} ও \vec{Q} দুটি ভেক্টর রাশির মধ্যবর্তী কোণ 120^{\circ} হলে তাদের লব্ধির মান-,P + Q,\sqrt{P^{2} + Q^{2} + PQ},P - Q,\sqrt{P^{2} + Q^{2} - PQ},P + Q,\sqrt{P^{2}+Q^{2}+PQ},P - Q,\sqrt{P^{2}+Q^{2}-PQ},d
Which one of the following equation is correct?,নিচের কোন সমীকরণটি সঠিক?,\vec{tau} = \vec{F} \times \vec{r},\vec{tau} = \vec{P} \times \vec{r},\vec{tau} = \vec{r} \times \vec{F},\vec{tau} = \vec{r} \times \vec{P},\vec{\tau}=\vec{F}\times \vec{r},\vec{\tau}=\vec{P}\times \vec{r},\vec{\tau}=\vec{r}\times \vec{F},\vec{\tau}=\vec{r}\times \vec{P},c
If the mass and velocityof bullet of a gun are doubled then how many time will the kinetic energy be-,একটি বন্দুকের গুলির ভর ও বেগ যদি দ্বিগুণ করা হয় তাহলে গতিশক্তি কত গুণ হবে?,2 times,4 times,8 times,16 times,2 গুণ,4 গুণ,8 গুণ,16 গুণ,c
Which one is the radius of gyration of a circular disc with respect to the tangent that is perpendicular on the surface?,গোলাকার চাকতির পৃষ্ঠের অভিলম্বভাবে গমনকারী স্পর্শকের সাপেক্ষে চক্রগতির ব্যাসার্ধ কোনটি?,\frac{1}{2} r,\sqrt{\frac{2}{3}} r,\sqrt{\frac{3}{2}} r,\sqrt{\frac{2}{5}} r,\frac{1}{2}r,\sqrt{\frac{2}{3}}r,\sqrt{\frac{3}{2}}r,\sqrt{\frac{2}{5}}r,c
Which one is the equation of light of an artificial satellite-,একটি কৃত্রিম উপগ্রহের কক্ষপথের উচ্চতার সমীকরণ-,h = \left ( \frac{GMT^{2}}{4\pi^{2}} \right )^{\frac{1}{3}} - R,h = \left ( \frac{GMT^{2}}{4\pi^{2}} \right )^{3} - R,h = \left ( \frac{4\pi^{2}}{GMT^{2}} \right )^{\frac{1}{3}} - R,h = \left ( \frac{4\pi^{2}}{GMT^{2}} \right )^{3} - R,h=\left ( \frac{GMT^{2}}{4\pi^{2}} \right )^{\frac{1}{3}}-R,h=\left ( \frac{GMT^{2}}{4\pi^{2}} \right )^{3}-R,h=\left ( \frac{4\pi^{2}}{GMT^{2}} \right )^{\frac{1}{3}}-R,h=\left ( \frac{4\pi^{2}}{GMT^{2}} \right )^{3}-R,a
For which ejection velocity of a body will be rotated around the earth and be a satellite as like the moon?,একটি বস্তুর উৎক্ষেপণ বেগ কত হলে বস্তুটি পৃথিবীর চারিদিকে চাঁদের মতো উপগ্রহে পরিণত হবে?,11.25 kms^{-1},7.88 kms^{-1},5.7 kms^{-1},3.24 kms^{-1},11.2 kms^{-1},7.88 kms^{-1},5.7 kms^{-1},3.24 kms^{-1},b
What indicates the slope of the strain vs stress graph?,বিকৃতি বনাম পীড়ন লেখচিত্রের ঢাল কী নির্দেশ করে?,Modulus of elasticity,Poisson's ratio,Toral work done,Potential energy per unit volume,স্থিতিস্থাপক গুণাঙ্ক,পয়সনের অনুপাত,মোট কৃতকাজ,একক আয়তনে বিভবশক্তি,a
After how much time a particle of simple harmonic motion becomes the sme phase?,সরল ছন্দিত স্পন্দনরত কণা কত সময় পর পর একই দশাপ্রাপ্ত হয়?,\frac{2\pi}{\omega},2\pi\omega,\frac{\pi}{\omega},\frac{\omega}{2\pi},\frac{2\pi}{\omega },2\pi\omega,\frac{\pi}{\omega },\frac{\omega }{2\pi},a
"When a person descents at \frac{g}{2} accerleration, the time period of pendulum in his hand will be what then the time period of the pendulum at stationary state?",কোনো ব্যক্তি \frac{g}{2} ত্বরণে নিচে নামলে তার হাতে অবস্থিত দোলকের দোলনকাল স্থির অবস্থার দোলনকালের তুলনায়-,increase,decrease,unchange,infinite,বাড়বে,কমবে,একই থাকবে,অসীম হবে,a
If a spring is cut into two equal pieces then spring constant of each piece will be -[spring constant K],একটি স্প্রিংকে কেটে সমান দুইভাগে ভাগ করা হলে প্রতি টুকরার স্প্রিং ধ্রুবক কত? [স্প্রিং ধ্রুবক k],\frac{k}{2},2k,\frac{k}{4},4k,\frac{k}{2},2k,\frac{k}{4},4k,b
"If water vapour is increased in air then -
 i. air pressure will increase
 ii. Density of air will decrease
 iii. Pressure of water vapour will increase
 Which one of the following is correct?","বায়ুতে জলীয় বাষ্পের পরিমাণ বেড়ে গেলে-
i. বায়ুর চাপ বাড়ে
ii. বায়ুর ঘনত্ব কমে
iii. জলীয় বাষ্পের চাপ বাড়ে
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Root mean square velocity of a gas and its absolute temperature-,গ্যাস অণুর মূল গড় বর্গবেগ পরম তাপমাত্রায়-,proportional,inversely proportional,Proportional to square root,inversely proportional to square root,সমানুপাতিক,ব্যস্তানুপাতিক,বর্গমূলের সমানুপাতিক,বর্গমূলের ব্যাস্তানুপাতিক,c
Which one the following statement is correct?,নিচের বক্তব্যগুলোর মধ্যে কোনটি সঠিক?,Saturated vapour obeys Boyle's and Charles'law.,Unsturated vapour can be created only in enclosed place.,Evaporation will be fast if air's relative humidity is high.,Saturated vapour pressure at dew point is equal to unsaturated vapour pressure at air temperature.,সম্পৃক্ত বাষ্প বয়েল ও চার্লসের সূত্র মেনে চলে,অসম্পৃক্ত বাষ্প শুধুমাত্র আবদ্ধ স্থানে তৈরি করা হয়,আপেক্ষিক আর্দ্রতা বেশি থাকলে বাষ্পায়ন দ্রুত হয়,শিশিরাঙ্কে সম্পৃক্ত বাষ্পচাপ ও বায়ুর তাপমাত্রায় অসম্পৃক্ত বাষ্পচাপ পরস্পর সমান,d
If \frac{1}{2} \hat{i} + \frac{1}{2}\hat{j} + m\hat{k} is a unit vector then what will be value of m,\frac{1}{2}\hat{i}+\frac{1}{2}\hat{j}+m\hat{k} একটি একক ভেক্টর হলে m এর মান কত?,\frac{1}{\sqrt{2}},\frac{1}{2},\frac{1}{4},1,\frac{1}{\sqrt{2}},\frac{1}{2},\frac{1}{4},1,a
At what angle \vec{A} = 2\vec{i} + 2\sqrt{3}\vec{j} is effective with y-axis?,\vec{A}=2\hat{i}+2\sqrt{3}\hat{j} ভেক্টরটি y-অক্ষের সাথে কত কোণে ক্রিয়াশীল?,0\degree,30\degree,60\degree,90\degree,0^{\circ},30^{\circ},60^{\circ},90^{\circ},b
"If the curl of vector be zero then the vector -
 i. solenoidal
 ii. Conserved 
 iii. Irrotational 
 Which one of the following is correct?","কোনো ভেক্টরের কার্ল শূণ্য হলে ভেক্টরটি-
i. সলিনয়ডাল
ii. সংরক্ষণশীল
iii. অঘূর্ণনশীল
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"Due to the application of force \vec{F} = (2\vec{i} + 3\vec{j} - 4\vec{k}) N a particle displaced from (3,2-1) to (4,5,1) What will be work done in this case?","একটি বস্তুর উপর \vec{F}=(2\hat{i}+3\hat{5}-4\hat{k})N বল প্রয়োগের ফলে সেটি (3, 2, - 1) বিন্দু হতে (4, 5, 1) বিন্দুতে স্থানান্তরিত হয়। এক্ষেত্রে কৃতকাজ কত হবে?",3J,4J,2J,0,3 জুল,4 জুল,2 জুল,0,a
"The radius vector a particle is \vec{r}, linear momentum \vec{P}, angular momentum \vec{I}. Applied force \vec{F}, and effective torque is \vec{\tau}, then \vec{\tau} and \vec{L} represented respective by which one?","কোনো কণার ব্যাসার্ধ ভেক্টর, \vec{r}, রৈখিক ভরবেগ \vec{P}, কৌণিক ভরবেগ \vec{L}, প্রযুক্ত বল \vec{F} এবং ক্রিয়াশীল টর্ক \vec{\tau } হলে ও \vec{\tau } ও \vec{L} যথাক্রমে নিচের কোনটির সমান?","\vec{r} \times \vec{F}, \vec{r} \times \vec{P}","\vec{r} \times \vec{P}, \vec{r} \times \vec{F}","\vec{F} \times \vec{r}, \vec{r} \times \vec{P}","\vec{r} \times \vec{P}, \vec{F} \times \vec{r}","\vec{r}\times \vec{F}, \vec{r}\times \vec{P}","\vec{r}\times \vec{P}, \vec{r}\times \vec{F}","\vec{F}\times \vec{r}, \vec{r}\times \vec{P}","\vec{r}\times \vec{P}, \vec{F}\times \vec{r}",a
According to work -energy theorem the work done will be equal to change of which quantity?,কাজ িশক্তি উপপাদ্য অনুসারে কৃতকাজ নিচের কোন রাশিটির পরিবর্তনের সমান?,Momentum,Potential Energy,Temperature,Kinetic Energy,ভরবেগ,বিভব শক্তি,তাপমাত্রা,গতিশক্তি,d
What is the angle between action and reaction?,ক্রিয়া-প্রতিক্রিয়ার মধ্যবর্তী কোণ কত?,0\degree,45\degree,90\degree,180\degree,0^{\circ},45^{\circ},90^{\circ},180^{\circ},d
If the kinetic energy is increased by 300% then the momentum of the particle will be increased by -,কোনো বস্তুর গতিশক্তি 300% বৃদ্ধি করলে এর ভরবেগ বৃদ্ধি পাবে-,100%,200%,300%,400%,100%,200%,300%,400%,a
If the ration of kinetic energy of two bodies of masses m and 3m is 2:1 then the ratio of their linear momentum will what?,m ও 3m ভরের দুটি বস্তুর গতিশক্তির অনুপাত 2 : 1 হলে তাদের রৈখিক ভরবেগের অনুপাত কত?,2 : 3,1 : \sqrt{3},\sqrt{2} : \sqrt{3},\sqrt{3} : \sqrt{2},2:3,1:\sqrt{3},\sqrt{2}:\sqrt{3},\sqrt{3}:\sqrt{2},c
"The cause of change of acceleration due to gravity 'g'-
 i. diurnal motion
 ii. Shape of the earth 
 iii.height and depth 
 Which one of the following is correct?","অভিকর্ষজ ত্বরণ g এর পরিবর্তনের কারণ-
i. আহ্নিক গতি
ii. পৃথিবীর আকার
iii. ইচ্চতা ও গভীরতা
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
If the distance of the earth from the sun is decreased then the number of days in a year will be -,সূর্য হতে পৃথিবীর দূরত্ব কমে গেলে বছরে দিনে সংখ্যা-,decrease,increase,unchange,infinite,কমবে,বাড়বে,একই থাকবে,অসীম হবে,a
"The value of gravitational potential -
 i. maximum at infinite 
 maximum value is zero 
 iii. Negative 
 Which one is correct?","মহাকর্ষীয় বিভনের মান-
i. সর্বোচ্চ হয় অসীমে
ii. সর্বোচ্চ পরিমাণ শূন্য
iii. ঋণাত্মক
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is called the applied stress to do rigidity strain?,কোনো বস্তুর আকার বিকৃতির জন্য যে পীড়ন প্রয়োগ করা হয় তাকে কী বলে?,Longitudinal stress,Shearing stress,Volume stress,Breaking stress,দৈর্ঘ্য পীড়ন,কৃন্তন পীড়ন,আয়তন পীড়ন,অসহ পীড়ন,b
What is the relation between bulk modulus(K) and compressibility © of an object?,কোনো বস্তুর আয়তন গুণাঙ্ক (K) এবং সংনম্যতার (C) মধ্যে সম্পর্ক কোনটি?,c = \frac{1}{K},c = \frac{3}{2} KT,c = \sqrt{\frac{3KT}{m}},\frac{c}{K} = 1,C=\frac{1}{K},C=\frac{3}{2}KT,C=\sqrt{\frac{3KT}{m}},\frac{C}{K}=1,a
Which one is the example of conservation force?,নিচের কোনটি সংরক্ষণশীল বলের উদাহরণ?,Frictional force,Viscous force,Gravitational force,Impulsive force,ঘর্ষণ বল,সান্দ্রবল,অভিকষীয় বল,ঘাত বল,c
The work done by centripetal force is-,কেন্দ্রমুখী বল দ্বারা কৃত কাজ-,infinity,positive,zero,negative,অসীম,ধনাত্মক,শূন্য,ঋণাত্মক,c
If a man stands with a load of 40 kg. what is the amount of work he does in 2 minutes?,একজন লোক 40 kg ভরের একটি বোঝা মাথায় নিয়ে 2 মিনিট দাঁড়িয়ে থাকলে তার কাজের পরিমাণ কত?,0J,80J,392J,4800J,0 J,80 J,392 J,4800 J,a
The cscape velocity in the earth depends on-,পৃথিবীতে মুক্তিবেগ নির্ভর করে-,mass of the object,radius of the earth,radius of the object,distance between the earth and object,বস্তুর ভরের উপর,পৃথিবীর ব্যাসার্ধের উপর,বস্তুর ব্যাসার্ধের উপর,পৃথিবীর ও বস্তুর দূরত্বের উপর,b
"If the mass and radius of a planet are half of the mass and radius of the earth respectively, then the value of g on the surface of that planet with respect to the value of g on the earth surface is-",একটি গ্রহের ভর ও ব্যাসার্ধ যথাক্রমে পৃথিবীর ভর ও ব্যাসার্ধের অর্ধেক হলে ঐ গ্রহের পৃষ্ঠে g-এর মান পৃথিবী পৃষ্ঠের g-এর মানের-,equal,half,twice,four times,সমান,অর্ধেক,দ্বিগুণ,চারগুণ,c
At what latitude is the value of the acceleration due to gravity lowest?,কত অক্ষাংশে অভিকর্ষজ ত্বরণের মান সবচেয়ে কম?,0\degree,30\degree,45\degree,90\degree,0^{\circ},30^{\circ},45^{\circ},90^{\circ},a
What is called the ratio of the shearing stress to the shearing strain within elastic limit?,স্থিতিস্থাপক সীমার মধ্যে কৃন্তন পীড়ন ও কৃন্তন বিকৃতির অনুপাতকে কী বলে?,Young's modulus,Modulus of rigidity,Compressibility,Bulk modulus,ইয়ং-এর গুণাঙ্ক,দৃঢ়তার গুণাঙ্ক,সংনম্যতা,আয়তন গুণাঙ্ক,b
For a simple pendulum at equllibrium position-,একটি সরল দোলকের সাম্যাবস্থানে-,both velocity and acceleration will be maximum,"velocity minimum, acceleration maximum",both velocity and acceleration will be minimum,velocity maximum acceleration minimum,বেগ ও ত্বরণ উভয় সর্বোচ্চ,"বেগ সর্বনিম্ন, ত্বরণ সর্বোচ্চ",বেগ ও ত্বরণ উভয় সর্বনিম্ন,"বেগ সর্বোচ্চ, ত্বরণ সর্বনিম্ন",d
"If the equation of motion of a particle excuting simple harmonic oscillation is x = 0.1 sin \left ( 6\pi t + \frac{\pi}{3} \right ) m, then for its- 
 i. time period=3s
 ii. The maximum velocity= 1.88 ms^{-1}
 iii. Initial phase= 60\degree
 Which one is correct?","সরলদোল গতিসম্পন্ন কোনো কণার গতির সমীকরণ, x=0.1 sin \left ( 6\pi t+\frac{\pi}{3} \right )m হলে এর-
i. পর্যায়কাল 3s
ii. সর্বোচ্চ বেগ 1.88 ms
iii. আদি দশা 60^{\circ}
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"If an object is allowed to fall from a height of 35 m, where will be its kinetic energy twice of its potential energy?",35 m উচ্চতা হতে একটি বস্তুকে বিনা বাধায় পড়তে দিলে ভূমি হতে কত উচ্চতায় এর গতিশক্তি বিভশক্তির দ্বিগুণ হবে?,11.67 m,15m,20 m,23.33 m,11.67 m,15 m,20 m,23.3 m,a
The moment of inertia of a thin circular disc with respect to any diameter will be-,একটি পাতলা বৃত্তাকার চাকতির যেকোনো ব্যাসের সাপেক্ষে জড়তার ভ্রামক হবে-,\frac{1}{4} Mr^{2},\frac{1}{2} Mr^{2},\frac{3}{2} Mr^{2},\frac{2}{3} Mr^{2},\frac{1}{4}Mr^{2},\frac{1}{2}Mr^{2},\frac{3}{2}Mr^{2},\frac{2}{3}Mr^{2},a
The average kinetic energy of a molecule for ideal gas at temperature T is-,T তাপমাত্রায় আদর্শ গ্যাসের ক্ষেত্রে একটি অণুর গড় গতিশক্তি-,\frac{3}{2} RT,\frac{3}{2} KT,\frac{1}{3} RT,\frac{1}{3} KT,\frac{3}{2}RT,\frac{3}{2}KT,\frac{1}{3}RT,\frac{1}{3}KT,b
The root mean square velocity of a gas at absolute temperature is,কোনো গ্যাসের অণুগুলোর মূল গড় বর্গবেগ পরম তাপমাত্রার-,proportional,inversely proportional,proportional to the square root,inversely proportional to the square root,সমানুপাতিক,ব্যস্তানুপাতিক,বর্গমূলের সমানুপাতিক,বর্গমূলের ব্যস্তানুপাতিক,c
What is called the mass of water vapour present in unit volume of air?,বায়ুুর প্রতি একক আয়তনে উপস্থিত জলীয় বাষ্পের ভরকে ঐ স্থানের কী বলে?,Air pressure,Relative humidity,Dew point,Absolute humidity,বাষ্পচাপ,আপেক্ষিক আর্দ্রতা,শিশিরাঙ্ক,পরম আর্দ্রতা,d
"The safe maximum velocit of the car on the turn of the road depends on- 
 i. radius of curvature of curved path c
 ii. Mass of car 
 iii. Angle of banking 
 Which one is correct?","রাস্তার বাঁকে গাড়ির নিরাপদ সর্বোচ্চ বেগ নির্ভর করে-
i. বাঁকের ব্যাসার্ধের উপর
ii. গাড়ির ভরের ‍উপর
iii. ব্যাংকিং কোণের উপর
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"Vector \vec{A} = \vec{i} + \vec{j} + \vec{k} is a-
 i. unit vector
 ii. Proper vector 
 iii. Position vector 
 Which one is correct?","\vec{A}=\hat{i}+\hat{j}+\hat{k} ভেক্টরটি একটি-
i. একক ভেক্টর
ii. সঠিক ভেক্টর
iii. অবস্থান ভেক্টর
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is the unit of angular momentum?,কৌণিক ভরবেগের একক কোনটি?,kgm^{2}s^{-2},kgms^{-2},kgms^{-1},kgm^{2}s^{-1},kgm^{2}s^{-2},kgms^{-2},kgms^{-1},kgm^{2}s^{-1},d
What fundamental force causes radioactive disruption of uranium thorium?,"ইউরোনিয়াম, থোরিয়াম এসব মৌলিক পদার্থের তেজস্ক্রিয় ভাঙ্গন ঘটে কোন বলের কারণে?",Gravitational force,Electromagnetic force,Weak nuclear force,Strong nuclear force,মহাকর্ষ বল,তড়িৎ চৌম্বক বল,দুর্বল নিউক্লিয় বল,সবল নিউক্লিয় বল,c
Real gas obeys boyle's law-,বাস্তব গ্যাস বয়েলের সূত্র মেনে চলে-,at high temperature,at room temperature,at low temperature,at 0\degree C temperature,উচ্চ তাপমাত্রায়,কাক্ষ তাপমাত্রায়,নিম্ন তাপমাত্রায়,0 তাপমাত্রায়,a
For which one of the following word done will be negatinve?,নিচের কোন মানের জন্য কাজ ঋণাত্মক হবে?,90\degree < \theta \leq 180\degree,0\degree \leq < 90\degree,90\degree > \theta \leq 180\degree,0\degree \leq < 90\degree,90^{\circ}<\theta \leq 180^{\circ},0\leq \theta <90^{\circ},90^{\circ}>\theta \leq 180^{\circ},0\geq \theta ^{\circ}<90^{\circ},a
If A = \vec{A} = \hat{i} + \hat{j} + \hat{k} and \vec{B} = 2\hat{i} + 2\hat{j} + 2\hat{k} then what is the perpendicular projection of \vec{A} through \vec{B}?,"যদি \vec{A}=\hat{i}+\hat{j}+\hat{k} এবং \vec{B}=2\hat{i}+2\hat{j}+2\hat{k} হয়, তবে \vec{B} বরাবর \vec{A} এর লম্ব অভিক্ষেপ কত?",1/\sqrt{3},\sqrt{3},2\sqrt{3},2/\sqrt{3},1/\sqrt{3},\sqrt{3},2\sqrt{3},2/\sqrt{3},b
If the velocity of a moving particle is double the what is its kineticc energy?,গতিশীল বস্তুর বেগ দ্বিগুণ হলে গতিশক্তি হবে-,Half,Euqal,double,Four times,অর্ধেক,সমান,দ্বিগুণ,চারগুণ,d
