English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
When displacement repeats of a simple harmonic oscillating particle? L,সরলছন্দিত কণার সরণ পুনরাবৃত্তি হয় কখন?,after \frac{2\pi}{\omega} time,after \frac{\pi}{\omega} time,after \frac{\omega}{2\pi} time,after \frac{\omega}{\pi} time,\frac{2\pi}{\omega } সময় পর,\frac{\pi}{\omega } সময় পর,\frac{\omega}{2\pi} সময় পর,\frac{\omega}{\pi} সময় পর,a
Which one is scalar quantity?,নিচের কোনটি স্কেলার রাশি?,Gravitational mass,Workdone,Torque,Angular momentum,অভিকর্ষীয় ভর,কাজ,টর্ক,কৌণিক ভরবেগ,b
What will be the workdone by gravitational force if a particle of mass 5 kg is pulled 5m horizontally?,5 kg ভরের বস্তুকে টেনে অনুভূমিক বরাবর 5 m সরালে অভিকর্ষীয় বল দ্বারা কাজের মান কত হবে?,0J,5J,25J,24.5J,0 J,5 J,25 J,245 J,a
If initial and final point of a vector is same the vector is-,"একটি ভেক্টরের আদি বিন্দু ও শেষ বিন্দু একই হলে, একে বলা হয়-",unit vector,reciprocal vector,null vector,position vector,একক ভেক্টর,বিপ্রতীপ ভেক্টর,নাল ভেক্টর,অবস্থান ভেক্টর,c
If temperature of a gas contained in a cylinder is increased from 30\degree C to 100\degree C. What percentage of pressure will increase?,একটি সিলিন্ডারে আবদ্ধ গ্যাসের তাপমাত্রা 30^{\circ}C থেকে 100^{\circ}C এ উন্নীত হলে চাপ কত শতাংশ পাবে?,19.01,23.1,28.02,70.01,19.01,23.1,28.02,70.01,b
A bucket with some water in it is revolving in vertical circular path of radius r. What should be the angular velocity so that water will not come out from the bucket?,"একটি বালতিতে কিছু পরিমাণ পানি নিয়ে r ব্যাসার্ধের বৃত্তপথে উল্লম্ব তলে ঘুরানো হচ্ছে, ঘূর্ণনের কৌণিক গতি কত হলে বালতির পানি বাইরে বের হবে না?",\sqrt{r/g},\sqrt{g/r},\sqrt{rg},rg,\sqrt{r/g},\sqrt{g/r},\sqrt{rg},rg,b
The velocity of maximum number of gas particles in closed container is called-,কোনেো পাত্রে আবদ্ধ গ্যাস অণুগুলির সর্বাধিক সংখ্যক অণুর বেগকে বলে-,average velocity,root mean square velocity,mean square veloctiy,most probable velocity,গড় বেগ,মূল গড় বর্গবেগ,গড় বর্গবেগ,সর্বাধিক সম্ভাব্য বেগ,d
If \vec{A} = 5\hat{i} then its reciprocal vector is -,\vec{A}=5\hat{i} হলে এর বিপ্রতীপ ভেক্টর নিচের কোনটি?,- 5\hat{i},\frac{1}{5} \hat{i},5 \frac{1}{\hat{i}},\frac{1}{5\hat{i}},-5\hat{i},\frac{1}{5}i,5\frac{1}{\hat{j}},\frac{1}{5\hat{i}},b
Which of the following has more kinetic energy?,নিচের কোন বস্তুর গতিশক্তি বেশি?,"Mass m, velocity 2V","Mass 2M, Velocity 3V","Mass M, velocigy 4V","Mass 3M, velocity 2V","ভর M, বেগ 2V","ভর 2M, বেগ 3V","ভর M, বেগ 4V","ভর 3M, বেগ 2V",b
"If one of the perpendicular component of a vector of magnitude 10 is 8 unit, then what is the other component?",10 একক মানের একটি ভেক্টর দুটি লম্ব উপাংশে বিভক্ত করায় একটির মান 8 একক হলে অপরটির মান কত?,2 unit,4 unit,6 unit,8 unit,2 একক,4 একক,6 একক,8 একক,c
"What is the equivalent value of 1 horse power? 
 i. 746 Joule/Sec
 ii. 550 ft-Ib/Sec
 iii. 17710 ft-Poundal /Sec
 Which one is correct?","এক অশ্ব-ক্ষমতার সমতুল্য মান হলো-
i. 746 joule/sec
ii. 550 ft-/b/sec
iii. 17710 ft-poundal/sec
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i,ii,i ও ii,"i, ii ও iii",d
Three equal forces are acting on a point and create balance then what will be the ratio of angles among the force?,তিনটি সমমানের বল একটি বিন্দুতে ক্রিয়া করে সাম্যাবস্থার সৃষ্টি করলে তাদের অন্তর্ভুক্ত কোণের অনুপাত কত?,60\degree : 60\degree : 240\degree,90\degree : 90\degree : 180\degree,120\degree : 120\degree : 120\degree,150\degree : 150\degree : 60\degree,60^{\circ}:60^{\circ}:240^{\circ},90^{\circ}:90^{\circ}:180^{\circ},120^{\circ}:120^{\circ}:120^{\circ},150^{\circ}:150^{\circ}:60^{\circ},c
"For gas, what is indicated by the quantity PV' -",PV' রাশিটি গ্যাসের ক্ষেত্রে নির্দেশ করে-,energy,power,momentum,inertia,শক্তি,ক্ষমতা,ভরবেগ,জড়তা,a
Moment of inertia of a wheel is 5kgm-2 What will be angular velocity to produce angular kinetic energy 10J?,একটি চাকার জড়তার ভ্রামক 5 kgm^{2} চাকাটিতে 10^{5} J ঘূর্ণন গতিশক্তিতে ঘুরতে কত কৌণিক বেগের প্রয়োজন হবে?,20 rad/sec,89.44 rad/sec,141.42 rad/sec,200 rad/sec,20 rad/sec,89.44 rad/sec,141.42 rad/sec,200 rad/sec,d
What is the unit of impulse of force?,‘বলের ঘাত’ এর একক কী?,N-kg,N-m,N-sec,N-sec-1,N-kg,N-m,N-sec,N-sec^{-1},c
Which motion is the motion of need of watch?,ঘড়ির কাঁটার গতিকোন গতির উদাহরণ?,Periodic motion,Harmonic motion,Linear motion,Relative motion,পর্যাবৃত্ত গতি,স্পন্দন গতি,সরলরৈখিক গতি,আপেক্ষিক গতি,a
If the initial and the end point of any vector is same the vector is called-,কোনেো ভেক্টরের পাদবিন্দু ও শীর্ষবিন্দু একই হলে সে ভেক্টরকে বলে০,colliner vector,unit vector,null vector,position vector,সমরেখ ভেক্টর,একক ভেক্টর,নাল ভেক্টর,অবস্থান ভেক্টর,c
Which is the dimensional equation of angular momentum?,কৌণিক ভরবেগের মাাত্রা সমীকরণ কোনটি?,MLT^{-1},ML^{2}T,ML^{2}T^{-1},ML^{2}T^{-2},MLT^{-1},ML^{2}T,ML^{2}T^{-1},ML^{2}T^{-2},c
How much work will have to do to raise a rod of length 1.5m and mass 2kg from horizontal position to veritcal position?,2 kg ভরের 1.5 m লম্বা একটি রডকে শায়িত অবস্থা হতে খাড়া করতে কী পরিমাণ কাজ করতে হবে?,0J,14.7J,29.4J,44.1J,0 J,14.7 J,29.4 J,44.1 J,b
"The equation of displacement of a particle executing simple harmonic motion is x=A cos\omega t.
 i. starts from one end
 ii. At time t = \frac{T}{4}, at equilibrium position 
 iii. At time t = \frac{T}{2}, at the opposite position of initial point
 Which one is correct?","সরল ছন্দিত গতিতে গতিশীল কোনো কণার সরণের সমীকরণ x = A cos \omega t, এক্ষেত্রে কণাটি-
i. এক প্রান্ত হতে যাত্রা শুরু করেছে
ii. t=\frac{T}{4} সময়ে সাম্যাবস্থানে থাকবে
iii. t=\frac{T}{2} সময়ে কণাটির যাত্রা, শুরু বিন্দুর বিপরীত পাশে অবস্থান করে
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Two moving particles of mass 1kg and 9 kg have same kinetic energy. What is the ratio of their momentum?,1 kg ও 9 kg ভরের দুটি বস্তু সমান গতিশক্তিতে গতিশীল। এদের ভরবেগের অনুপাত কত?,1 : 3,\sqrt{3} : 1,3 : 1,1 : 9,1 : 3,\sqrt{3}:1,3 : 1,1 : 9,a
If a machine applies a constant force F on a body and create a constant velocity v on it then what is the power of the machine?,কোনো যন্ত্র কর্তৃক F ধ্রুব বল প্রয়োগে কোনো বস্তু v ধ্রুব বেগে গতিশীল হলে যন্ত্রের ক্ষমতা কত?,P = Fv^{2},P = Fv,P = F^{2}v,P = \frac{F}{v},P = Fv^{2},P = Fv,P = F^{2}v,P=\frac{F}{v},b
Which one is the absolute zero temperature?,পরম শূন্য তাপমাত্রা কোনটি?,273\degree C,0\degree C,- 273\degree C,- 373\degree C,273^{\circ}C,0^{\circ}C,-273^{\circ}C,-373^{\circ}C,c
Find the angle of inclination with the vertical plane for a cyclist moving around a circular path of radius 500m with a velocity of 5ms^{-1}.,একজন সাইকেল আরোহী 500 m ব্যাসার্ধের বৃত্তাকার পথে 5 বেগে ঘুরতে গেলে উলম্ব তলের সাথে কত কোণে আনত থাকবে?,0.27\degree,0.28\degree,0.29\degree,0.30\degree,0.27^{\circ},0.28^{\circ},0.29^{\circ},0.30^{\circ},c
"If \vec{P} and \vec{Q} are two parallel vectors in three dimensional space then-
 i. \vec{P} . \vec{Q} = 0
 ii. \vec{P} \times \vec{Q} = 0
 Iii. \frac{P_{x}}{Q_{x}} = \frac{P_{x}}{Q_{x}} = \frac{P_{x}}{Q_{x}}
 Which one is correct?","ত্রিমাত্রিক স্থানে \vec{P} ও \vec{Q} দুটি সমান্তরাল ভেক্টর হলে-
i. \vec{P}. \vec{Q} = 0 
ii. \vec{P}\times \vec{Q}=0
iii. \frac{P_{x}}{Q_{x}}=\frac{P_{y}}{Q_{y}}=\frac{P_{z}}{Q_{z}}
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is the initial place if a particle of simple harmonic oscillation starts from the highest position of its displacement?,সরল ছন্দিত স্পন্দন সম্পন্ন কোনো কণার সরণের সর্বোচ্চ অবস্থান হতে যাত্রা শুরু হলে আদি দশা কত?,\pi,\frac{\pi}{2},\frac{\pi}{4},0,\pi,\frac{\pi}{2},\frac{\pi}{4},0,b
The saturated vapour pressure and unsaturated vapour pressure at a place is respectively f and F. Which one is true?,কোনো স্থানের অসম্পৃক্ত বাষ্পচাপ f এবং সম্পৃক্ত বাষ্পচাপ F হলে কোনটি সঠিক?,f<F,f>F,f \leq F,f \geq F,f < F,f > F,f \leq  F,f \geq  F,a
A thin uniform rod of length I and mass M rotate about an axis through its centre and perpendicular to its length. What is the moment of inertia?,M ভরের ও l দৈর্ঘ্যের সরু সুষম দণ্ডের মধ্যবিন্দু দিয়ে দৈর্ঘ্যের অভিলম্বভাবে গমনকারী অক্ষের সাপেক্ষে জড়তার ভ্রামক কত?,\frac{Ml^{2}}{12},\frac{Ml^{2}}{3},\frac{Ml^{2}}{2},Ml^{2},\frac{Ml^{2}}{l2},\frac{Ml^{2}}{3},\frac{Ml^{2}}{2},Ml^{2},a
"It can be said about wate vapour pressure-
 i. saturated vapour pressure gives maximum pressure 
 ii. Unsaturated vpour pressure obeys Boyle's Law
 iii. Air density increases when water vapour pressure decrease
 Which one is correct?","কোনো স্থানেের জলীয় বাষ্পচাপ সম্পর্কে বলা যায়-
i. সম্পৃক্ত জলীয় বাষ্প সর্বাধিক চাপ দেয়
ii. অসম্পৃক্ত জলীয় বাষ্প বয়েলের সূত্র মেনে চলে
iii. বায়ুতে জলীয় বাষ্প কমলে বায়ুর ঘনত্ব বৃদ্ধি পায়
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the average kinetic energy of an oxygen (O_{2}) molecule?,অক্সিজেন (O_{2}) গ্যাসের প্রতি অণুর গড় গতিশক্তি কত?,\frac{3}{2} RT,\frac{3}{2} KT,\frac{5}{2} RT,\frac{5}{2} KT,\frac{3}{2}RT,\frac{3}{2}KT,\frac{5}{2}RT,\frac{5}{2}KT,d
"The radius of the turning of a road is 50 cm. The width of the road is 5m and its outer edge is elevated to 0.25m than that of inner edge. 
 What is the actual banking angle of the road?","একটি রাস্তার বাকের ব্যাসার্ধ 50m। রাস্তার প্রস্থ 5m এবং বাহিরের প্রান্ত ভিতরের প্রান্ত অপেক্ষা 0.25m উঁচু।
রাাস্তাটির প্রকৃতি ব্যাংকিং কোণ কত?",1.86\degree,2.86\degree,3.86\degree,5.86\degree,1.86^{\circ},2.86^{\circ},3.86^{\circ},5.86^{\circ},b
Which one is the example of temporary order of succession?,কালিক পর্যায়ক্রমের উদাহরণ কোনটি?,Mark on the scale,Stripe shape on the shirt,otion of the wire of the guitar,Atoms in crystal in solid material,স্কেলের উপর দাগ,শার্টের ডোরাকাটা দাগ,টারের তারের গতি,কঠিন পদার্থের কেলাসের মধ্যে অণু,c
In which condition the pendulum clock slowly?,নিচের কোন কারণে দোলক ঘড়ি স্লো চলবে?,"For constant g, for increases L then T will be increase","For constant g, for decrease L then T will be decrease","For constant L, for increase g, the T will be increase","For constant L, for increase g then T will be decrease",g কে স্থির রেখে L বাড়ালে T বাড়বে বলে,g কে স্থির রেখে L কমালে T কমবে বলে,L কে স্থির রেখে g বাড়ালে T বাড়বে বলে,L কে স্থির রেখে G বাড়ালে T কমবে বলে,a
What is the time period of a simplw harmonic particle's When it's maximum velocity is 6ms^{-1} and displacement is 30-,একটি সরলছন্দিত গতিসম্পন্ন কণার সর্বোচ্চ বেগ 6 ms^{-1} এবং কণাটির বিস্তার 30 cm হলে কণাটির পর্যায় কত?,0.07s,0.31s,7.85s,31.41s,0.07 s,0.31 s,7.85 g,31.41 s,b
Which one is correct for water vapour?,জলীয় বাষ্পের ক্ষেত্রে কোনটি সঠিক?,Weather at any place does not depend on the amount of water vapour,Water vapour does not create fog,Density of the water vapour is greater than the density of dry air,Water vapour is lighter compare to dry air,জলীয় বাষ্পের পরিমাণের উপর কোনো স্থানের আবহাওয়া নির্ভর করে না,কুয়াশা সৃষি।টর জন্য জলীয় বাষ্প দায়ী নয়,জলীয় বাষ্পের ঘনত্ব শুষ্ক বায়ুর ঘনত্বের চেয়ে বেশি,জলীয় বাষ্পের শুষ্ক বায়ু অপেক্ষা হালকা,d
What do you mean by dew poin?,শিশিরাঙ্ক বলতে বোঝায়-,Heat,*** emperature,Amount of dew,relative humidity,তাপ,তাপমাত্রা,শিশিরের পরিমাণ,আপেক্ষিক আর্দ্রতা,b
What is called the vector when the initial point and end point meets each other of the vector indicate line?,ভেক্টর নির্দেশক রেখাংশটির আদি বিন্দু ও শেষবিন্দু যদি মিশে যায় তাহলে তাকে কী ভেক্টর বলে?,Independent,Similar,Equal,Null,স্বাধীন,সদৃশ,সমান,শূন্য,d
"Experess position vector-
 i. \vec{r} = x\hat{i} + y\hat{j}
 Ii. \triangle \vec{r} = (x_{2}\hat{i} + y_{2}\hat{j}) - (x_{1}\hat{i} + y_{1}\hat{j})
 Iii. \vec{r} = x\hat{i} + y\hat{j} + z\hat{k}
 Which one is correct?","অবস্থান ভেক্টর ক্ষেত্রে ব্যবহৃত হয়-
i. \vec{r} = x\hat{i} + y\hat{j}
Ii. \triangle \vec{r} = (x_{2}\hat{i} + y_{2}\hat{j}) - (x_{1}\hat{i} + y_{1}\hat{j})
Iii. \vec{r} = x\hat{i} + y\hat{j} + z\hat{k}
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"The magnitude of two vectors are equal. In which condition, the resultant vector is \sqrt{3} times to one vector?",দুইটি ভেক্টরের মান সমান । নিচের কোন অবস্থানে এদের লব্ধি একটি ভেক্টরের মানের \sqrt{3} গুণ হবে?,0\degree,45\degree,60\degree,90\degree,0^{\circ},45^{\circ},60^{\circ},90^{\circ},c
The magnitude of two vector \vec{P} and \vec{Q} is equal but act oppositely. What is the angle between the resultant vector \vec{R} and \vec{P}?,\vec{P} ও \vec{Q} দুটি সমমানের ভেক্টর পরস্পর বিপরীত দিকে ক্রিয়া করছে। ভেক্টর দুটির লব্ধি \vec{R} ও \vec{P} এর মধ্যবর্তী কোণ কোনটি?,90\degree,60\degree,45\degree,0\degree,90\degree,60\degree,45\degree,0\degree,d
Which one is the unit of torque?,টর্কের একক কোনটি?,N^{-1}m,Nm^{-2},Nm,Nm^{-1},N^{-1}m,Nm^{-2},Nm,Nm^{-1},c
The mass of an electric wheel is 10 kg and its radius of gyration about an axis is 2m. To produce an acceleration of 3 rad s^{-2}. What amount of torque is required to apply on it?,একটি বৈদ্যুতিক পাখার ভর 10 kg এবং কোনো অক্ষ সাপেক্ষে চক্রগতির ব্যাসার্ধ পাখাটিতে 3 rad s^{-2} কৌণিক ত্বরণ সৃষ্টি করতে কত মানে টর্ক প্রয়োগ করতে হবে?,40 Nm,20 Nm,30 Nm,120 Nm,40 Nm,20 Nm,30 Nm,120Nm,d
Which one is the example of static inertia?,স্থিতি জড়তার উদাহরণ কোনটি?,Pull on horse's car,Hit on diry cloths,pull on big boat's gume,Fires through from rifle,ঘোড়ার গাড়ি টানা,লময় পোশাকে আঘাত করা,বড় নৌকার গুণ টানা,বন্দুক থেকে গুলি ছোঁড়া,b
"Give slope in the banking of the road- 
 i. vehicles movement safely more
 ii. Got centripetal force 
 iii. Cycle dirver moves inclinds to the banking
 Which one is correct?","রাস্তা্তার বাঁকে ঢঅল দিলে-
i. যানবাহন চলাচাল অধিকতর নিরাপদ হয়
ii. কেন্দ্রমুখী বল পাওয়া যায়
iii. সাইকেল আরোহী বক্রপথের কেন্দ্রের দিকে হেলে থাকে
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is the unit of work in CGS system?,CGS পদ্ধতিতে কাজের একক কোনটি?,Loule,Ft-Poundal,Erg,N.m,Joule,Ft-Poudal,Erg,N.m,c
Determine the work done of the particle when \vec{F} = (5\hat{i} + 3\hat{j} - 3\hat{k} force on it and displacement occur \vec{r} = (4\hat{i} - 3\hat{j} + 3\hat{k})m.,"একটি কণাার উপর \vec{F} = (5\hat{i} + 3\hat{j} - 3\hat{k}) N, বল প্রয়োগ করার ফলে যদি কণাটির সরণ \vec{r} = (4\hat{i} - 3\hat{j} - 3\hat{k}) m হয় তাহলে এক্ষেত্রে কৃতকাজের মান নির্ণয় কর।",20 J,9 J,2 J,1 J,20 J,9 J,2 J,1 J,c
Which one is scalar quantity?,কোনটি স্কেলার রাশি?,Gradient,Divergence,Curl,Displacement,গ্রাডিয়েন্ট,ভাইভারজেন্স,কার্ল,সরণ,b
A force of 4N is acting on abody for 1 sec. What is the change in momentum?,4 N বল একটি বস্তুর উপর 1 sec ব্যাপী ক্রিয়া করলে ভরবেগের পরিবর্তন কত?,2 kgms^{-1},4 kgms^{-1},8 kgms^{-1},16 kgms^{-1},2 kgms^{-1},4 kgms^{-1},8 kgms^{-1},16 kgms^{-1},b
Radius of the earth is 'R' and the acceleration due to gravity on the earth's surface is 'g'. Find the aceleration due to gravity at a height of 'h' From the earth's surface?,পৃথিবীর ব্যাসার্ধ 'R' এবং পৃথিবীতে অভিকর্ষজ ত্বরণ 'g' পৃথিবী পৃষ্ঠ হতে 'h' উচ্চতায় অভিকর্ষজ ত্বরণ কত?,g(R-h)/R,gR^{2}/(R + h)^{2},gR(R+h),g(R - h)^{2}/R^{2},g(R - h)/R,gR^{2}/(R + h)^{2},gR/(R + h),g(R - h)^{2}/R^{2},b
Which one of the following is equivalent to zero phase?,নিচের কোনটি শূন্য দশার সমতুল্য?,\pi/2,\pi,3\pi/2,2\pi,\pi/2,\pi,3\pi/2,2\pi,d
In case of gases 'PV' represents-,PV' রাশিটি গ্যাসের ক্ষেত্রে নির্দেশ করে-,power,momentum,work,inertia,ক্ষমতা,ভরবেগ,কাজ,জড়তা,c
"\vec{A} = \vec{i}, \vec{B} = 2\vec{i} + \vec{k}, what is the angle between A and B?","\vec{A}=\hat{i},\vec{B}=2\hat{i}+\hat{k}, \vec{A} ও \vec{B} ভেক্টরের মধ্যবর্তী কোণ-",25.12\degree,26.57\degree,90.67\degree,180.25\degree,25.12^{\circ},26.57^{\circ},90.67^{\circ},180.25^{\circ},b
What is the another name of torque?,টর্কের অপর নাম কী?,Friction force,Moment of inertia,Rotational force,Centripetal force,ঘর্ষণ বল,জড়তার ভ্রামক,ঘূর্ণন বল,কেন্দ্রমুখী বল,c
At N.T.P the density of hydrogen is 0.09 kgm^{-3}. determine the root mean square velocity of nitrogen molecules.,N.T.P. তে হাইড্রোজেনের ঘণত্ব 0.09 kgm^{-3} অনুগুলোর মূলগড় বর্গবেগ নির্ণয় করো।,1.84 kms^{-1},2.84 kms^{-1},3.38 kms^{-1},4.00 kms^{-1},1.84 kms^{-1},2.84 kms^{-1},3.38 kms^{-1},4.00 kms^{-1},a
What is the relation between the 'root mean square velocity' and 'absolute temperatute'?,গড় বর্গবেগের বর্গমূল ও পরম তাপমাত্রার মধ্য সম্পর্ক হলো-,C_{rms} \propto T,C_{rms} \propto \sqrt{T},C_{rms} \propto \frac{1}{T},C_{rms} \propto \frac{1}{\sqrt{T}},C_{rms}\infty T,C_{rms}\infty \sqrt{T},C_{rms}\infty \frac{1}{T},C_{rms}\infty \frac{1}{\sqrt{T}},b
\hat{j} \times (\hat{j} \times \hat{k}) = ?,\hat{J}\times (\hat{j}\times \vec{k}) = কত?,- \hat{k},0,\hat{k},\hat{i},-\hat{k},0,\hat{k},\hat{i},a
"Impulse of force is-
 i. Product of a force and the duration of action of the force 
 ii. Change of momentum 
 iii. Rate of change of momentum 
 Which one is correct?","বলেের ঘাত হচ্ছে-
i. বল ও বলের ক্রিয়া কালের গুণফল
ii. ভরবেগের পরিবর্তন
iii. ভরবেগের পরিবর্তনের হার
নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
What kind of energy will be stored when a spring is expanded?,স্প্রিংকে প্রসারিত করলে এর মধ্যে কোন ধরনের শক্তি সঞ্চিত হয়?,Potential energy,Kinetic energy,Chemical energy,Heat energy,বিভবশক্তি,গতিশক্তি,রাসায়নিক শক্তি,তাপশক্তি,a
The time period of a planet is 'T' and its average distance from the sun is 'r' Which one is current according to the Keplar's third law?,গ্রহের পর্যায়কাল T এবং সূর্য হতে গ্রহের গড় দূরত্ব r হলে কেপলারের তৃতীয় সূত্রানুসারে-,T \propto r,T \propto r^{2},T^{2} \propto r,T^{2} \propto r^{3},T\infty r,T\infty r^{2},T^{2}\infty r,T^{2}\infty r^{3},d
What is meant by similar and opposite vectors of having not same magnitude?,সমজাতীয় অসমমানের এবং বিপরীতমুখী ভেক্টরকে কী বলে?,Opposite vector,Reciprocal vector,Unlike Vector,Like Vector,বিপরীত ভেক্টর,বিপ্রতীপ ভেক্টর,বিসদৃশ ভেক্টর,সদৃশ ভেক্টর,c
What is the relation among the torque (\tau) moment of inertia (I) and angular acceleration (\alpha)?,"টর্ক (\tau), জড়তার ভ্রামক (I) এবং কৌণিক ত্বরণের (\alpha ) মধ্যে সম্পর্ক কী?",\tau = \frac{1}{\alpha},\tau = \sqrt{I\alpha},\tau = I^{2}\alpha,\tau = I\alpha,\tau=\frac{1}{\alpha },\tau=\sqrt{I\alpha },\tau= I^{2}\alpha,\tau= I\alpha,d
Work done by the centripetal force of a body rotating in the circular orbit is-,বৃত্তাকার পথে ঘূর্ণনরত কোনো বস্তুর উপর কেন্দ্রমুখী বল দ্বারা কৃতকাজ হলো-,negative,zero,positive,infinity,ঋণাত্মক,শূণ্য,ধনাত্মক,অসীম,b
